"id"	"parent_id/id"	"parent_persentage"	"name"	"tilt_azimuth_ids/id"	"zip_id/id"
"insolation_incident_yearly_1"			"DAGGETT"	"tilt_azimuth_1"	
				"tilt_azimuth_2"	
				"tilt_azimuth_3"	
				"tilt_azimuth_4"	
				"tilt_azimuth_5"	
				"tilt_azimuth_6"	
				"tilt_azimuth_7"	
				"tilt_azimuth_8"	
				"tilt_azimuth_9"	
				"tilt_azimuth_10"	
				"tilt_azimuth_11"	
				"tilt_azimuth_12"	
				"tilt_azimuth_13"	
				"tilt_azimuth_14"	
				"tilt_azimuth_15"	
				"tilt_azimuth_16"	
				"tilt_azimuth_17"	
				"tilt_azimuth_18"	
				"tilt_azimuth_19"	
				"tilt_azimuth_20"	
				"tilt_azimuth_21"	
				"tilt_azimuth_22"	
				"tilt_azimuth_23"	
				"tilt_azimuth_24"	
				"tilt_azimuth_25"	
				"tilt_azimuth_26"	
				"tilt_azimuth_27"	
				"tilt_azimuth_28"	
				"tilt_azimuth_29"	
				"tilt_azimuth_30"	
				"tilt_azimuth_31"	
				"tilt_azimuth_32"	
				"tilt_azimuth_33"	
				"tilt_azimuth_34"	
				"tilt_azimuth_35"	
				"tilt_azimuth_36"	
				"tilt_azimuth_37"	
				"tilt_azimuth_38"	
				"tilt_azimuth_39"	
				"tilt_azimuth_40"	
				"tilt_azimuth_41"	
				"tilt_azimuth_42"	
				"tilt_azimuth_43"	
				"tilt_azimuth_44"	
				"tilt_azimuth_45"	
				"tilt_azimuth_46"	
				"tilt_azimuth_47"	
				"tilt_azimuth_48"	
				"tilt_azimuth_49"	
				"tilt_azimuth_50"	
				"tilt_azimuth_51"	
				"tilt_azimuth_52"	
				"tilt_azimuth_53"	
				"tilt_azimuth_54"	
				"tilt_azimuth_55"	
				"tilt_azimuth_56"	
				"tilt_azimuth_57"	
				"tilt_azimuth_58"	
				"tilt_azimuth_59"	
				"tilt_azimuth_60"	
				"tilt_azimuth_61"	
				"tilt_azimuth_62"	
				"tilt_azimuth_63"	
				"tilt_azimuth_64"	
				"tilt_azimuth_65"	
				"tilt_azimuth_66"	
				"tilt_azimuth_67"	
				"tilt_azimuth_68"	
				"tilt_azimuth_69"	
				"tilt_azimuth_70"	
				"tilt_azimuth_71"	
				"tilt_azimuth_72"	
				"tilt_azimuth_73"	
				"tilt_azimuth_74"	
				"tilt_azimuth_75"	
				"tilt_azimuth_76"	
				"tilt_azimuth_77"	
				"tilt_azimuth_78"	
				"tilt_azimuth_79"	
				"tilt_azimuth_80"	
				"tilt_azimuth_81"	
				"tilt_azimuth_82"	
				"tilt_azimuth_83"	
				"tilt_azimuth_84"	
				"tilt_azimuth_85"	
				"tilt_azimuth_86"	
				"tilt_azimuth_87"	
				"tilt_azimuth_88"	
				"tilt_azimuth_89"	
				"tilt_azimuth_90"	
				"tilt_azimuth_91"	
				"tilt_azimuth_92"	
				"tilt_azimuth_93"	
				"tilt_azimuth_94"	
				"tilt_azimuth_95"	
				"tilt_azimuth_96"	
				"tilt_azimuth_97"	
				"tilt_azimuth_98"	
				"tilt_azimuth_99"	
				"tilt_azimuth_100"	
				"tilt_azimuth_101"	
				"tilt_azimuth_102"	
				"tilt_azimuth_103"	
				"tilt_azimuth_104"	
				"tilt_azimuth_105"	
				"tilt_azimuth_106"	
				"tilt_azimuth_107"	
				"tilt_azimuth_108"	
				"tilt_azimuth_109"	
				"tilt_azimuth_110"	
				"tilt_azimuth_111"	
				"tilt_azimuth_112"	
				"tilt_azimuth_113"	
				"tilt_azimuth_114"	
				"tilt_azimuth_115"	
				"tilt_azimuth_116"	
				"tilt_azimuth_117"	
				"tilt_azimuth_118"	
				"tilt_azimuth_119"	
				"tilt_azimuth_120"	
				"tilt_azimuth_121"	
				"tilt_azimuth_122"	
				"tilt_azimuth_123"	
				"tilt_azimuth_124"	
				"tilt_azimuth_125"	
				"tilt_azimuth_126"	
				"tilt_azimuth_127"	
				"tilt_azimuth_128"	
				"tilt_azimuth_129"	
				"tilt_azimuth_130"	
				"tilt_azimuth_131"	
				"tilt_azimuth_132"	
				"tilt_azimuth_133"	
				"tilt_azimuth_134"	
				"tilt_azimuth_135"	
				"tilt_azimuth_136"	
				"tilt_azimuth_137"	
				"tilt_azimuth_138"	
				"tilt_azimuth_139"	
				"tilt_azimuth_140"	
				"tilt_azimuth_141"	
				"tilt_azimuth_142"	
				"tilt_azimuth_143"	
				"tilt_azimuth_144"	
"insolation_incident_yearly_2"			"Los Angeles"	"tilt_azimuth_145"	
				"tilt_azimuth_146"	
				"tilt_azimuth_147"	
				"tilt_azimuth_148"	
				"tilt_azimuth_149"	
				"tilt_azimuth_150"	
				"tilt_azimuth_151"	
				"tilt_azimuth_152"	
				"tilt_azimuth_153"	
				"tilt_azimuth_154"	
				"tilt_azimuth_155"	
				"tilt_azimuth_156"	
				"tilt_azimuth_157"	
				"tilt_azimuth_158"	
				"tilt_azimuth_159"	
				"tilt_azimuth_160"	
				"tilt_azimuth_161"	
				"tilt_azimuth_162"	
				"tilt_azimuth_163"	
				"tilt_azimuth_164"	
				"tilt_azimuth_165"	
				"tilt_azimuth_166"	
				"tilt_azimuth_167"	
				"tilt_azimuth_168"	
				"tilt_azimuth_169"	
				"tilt_azimuth_170"	
				"tilt_azimuth_171"	
				"tilt_azimuth_172"	
				"tilt_azimuth_173"	
				"tilt_azimuth_174"	
				"tilt_azimuth_175"	
				"tilt_azimuth_176"	
				"tilt_azimuth_177"	
				"tilt_azimuth_178"	
				"tilt_azimuth_179"	
				"tilt_azimuth_180"	
				"tilt_azimuth_181"	
				"tilt_azimuth_182"	
				"tilt_azimuth_183"	
				"tilt_azimuth_184"	
				"tilt_azimuth_185"	
				"tilt_azimuth_186"	
				"tilt_azimuth_187"	
				"tilt_azimuth_188"	
				"tilt_azimuth_189"	
				"tilt_azimuth_190"	
				"tilt_azimuth_191"	
				"tilt_azimuth_192"	
				"tilt_azimuth_193"	
				"tilt_azimuth_194"	
				"tilt_azimuth_195"	
				"tilt_azimuth_196"	
				"tilt_azimuth_197"	
				"tilt_azimuth_198"	
				"tilt_azimuth_199"	
				"tilt_azimuth_200"	
				"tilt_azimuth_201"	
				"tilt_azimuth_202"	
				"tilt_azimuth_203"	
				"tilt_azimuth_204"	
				"tilt_azimuth_205"	
				"tilt_azimuth_206"	
				"tilt_azimuth_207"	
				"tilt_azimuth_208"	
				"tilt_azimuth_209"	
				"tilt_azimuth_210"	
