id,product_tmpl_id/id,name
Pro_01,sun_pro_01,10-32 K-LOCK NUT W/EXTERNAL STAR STAINLESS STEEL
Pro_02,sun_pro_02,5/16-18X1 WHIZ FLANGE BOLT STAINLESS STEEL
Pro_03,sun_pro_03,5/16-18X1 HEX CAP SCREW STAINLESS STEEL
Pro_04,sun_pro_04,5/16-18X 1-1/4 HEX CAP SCREW STAINLESS STEEL
Pro_05,sun_pro_05,5/16-18X 1-3/4 HEX CAP SCREW STAINLESS STEEL
Pro_06,sun_pro_06,5/16-18X 2 HEX CAP SCREW STAINLESS STEEL
Pro_07,sun_pro_07,5/16-18 2-3/4 HEX CAP SCREW STAINLESS STEEL
Pro_08,sun_pro_08,5/16-18X 3/4 HEX CAP SCREW STAINLESS STEEL
Pro_09,sun_pro_09,5/16-18 FINISHED HEX NUT STAINLESS STEEL
Pro_10,sun_pro_10,5/16-18 CHANNEL SPRING NUT 316 STAINLESS STEEL
Pro_11,sun_pro_11,5/16-18 CHANNEL SPRING NUT STEEL HD/GALV
Pro_12,sun_pro_12,5/16-18 WHIZ FLANGE NUT STAINLESS STEEL
Pro_13,sun_pro_13,5/16X3 LAG BOLT STAINLESS STEEL
Pro_14,sun_pro_14,5/16X 3-1/2 LAG BOLT STAINLESS STEEL
Pro_15,sun_pro_15,5/16X 4 LAG BOLT STAINLESS STEEL
Pro_16,sun_pro_16,5/16X 4-1/2 LAG BOLT STAINLESS STEEL
Pro_17,sun_pro_17,5/16X 5 LAG BOLT STAINLESS STEEL
Pro_18,sun_pro_18,5/16X 3/4 FLAT WASHER STAINLESS STEEL
Pro_19,sun_pro_19,5/16 MED SPLIT LOCK WASHER STAINLESS STEEL
Pro_20,sun_pro_20,3/8-16X1 HEX CAP SCREW STAINLESS STEEL
Pro_21,sun_pro_21,3/8-16X 1-1/4 HEX CAP SCREW STAINLESS STEEL
Pro_22,sun_pro_22,3/8-16X 1-1/2 HEX CAP SCREW STAINLESS STEEL
Pro_23,sun_pro_23,3/8-16X 1-12 SOCKET CAP SCREW ALLOY
Pro_24,sun_pro_24,3/8-16X 2 SOCKET CAP SCREW ALLOY
Pro_25,sun_pro_25,3/8-16X 2 FLAT SOCKET CAP SCREW ALLOY
Pro_26,sun_pro_26,3/8-16X 2-1/2 SOCKET CAP SCREW ALLOY
